File format - 1
# of Tracks - 7
Ticks/quarter note - 480

Start of track 1 at Byte 14
Track length: 83
0, Tempo to 731707 usec/quarter note
0, Sequence/Track Name event
0, Time Signature event
4964, Time Signature event
5011, Time Signature event
6509, Time Signature event
6556, Time Signature event
6556,End of track

Start of track 2 at Byte 105
Track length: 13008
0, Sequence/Track Name event
0, Control change event, Channel: 1
0, Control change event, Channel: 1
0, Control change event, Channel: 1
0, Pitch wheel event, Channel: 1
0, Control change event, Channel: 2
0, Control change event, Channel: 2
0, Control change event, Channel: 2
0, Pitch wheel event, Channel: 2
0, Program change event, Channel: 1
0, Program change event, Channel: 2
0, Control change event, Channel: 1
0, Control change event, Channel: 2
0, Control change event, Channel: 1
0, Control change event, Channel: 2
0, Control change event, Channel: 1
0, Control change event, Channel: 2
0, Control change event, Channel: 1
0, Control change event, Channel: 2
0, Control change event, Channel: 1
0, Control change event, Channel: 2
0, Control change event, Channel: 1
0, Control change event, Channel: 2
2049,Off,A3,1
2049,Off,D3,1
2049,On,D4,1
2049,On,A3,1
2049,On,D3,1
2055,Off,D4,1
2055,Off,A3,1
2055,Off,D3,1
2055,On,D4,1
2055,On,A3,1
2055,On,D3,1
2060,Off,D4,1
2060,Off,A3,1
2060,Off,D3,1
2060,On,G4,1
2060,On,D4,1
2060,On,G3,1
2066,Off,G4,1
2066,Off,D4,1
2066,Off,G3,1
2066,On,G4,1
2066,On,D4,1
2066,On,G3,1
2072,Off,G4,1
2072,Off,D4,1
2072,Off,G3,1
2072,On,G4,1
2072,On,D4,1
2072,On,G3,1
2078,Off,G4,1
2078,Off,D4,1
2078,Off,G3,1
2078,On,G4,1
2078,On,D4,1
2078,On,G3,1
2084,Off,G4,1
2084,Off,D4,1
2084,Off,G3,1
2084,On,G4,1
2084,On,D4,1
2084,On,G3,1
2090,Off,G4,1
2090,Off,D4,1
2090,Off,G3,1
2090,On,G4,1
2090,On,D4,1
2090,On,G3,1
2096,Off,G4,1
2096,Off,D4,1
2096,Off,G3,1
2096,On,G4,1
2096,On,D4,1
2096,On,G3,1
2101,Off,G4,1
2101,Off,D4,1
2101,Off,G3,1
2101,On,G4,1
2101,On,D4,1
2101,On,G3,1
2107,Off,G4,1
2107,Off,D4,1
2107,Off,G3,1
2107,On,G4,1
2107,On,D4,1
2107,On,G3,1
2113,Off,G4,1
2113,Off,D4,1
2113,Off,G3,1
2113,On,G4,1
2113,On,D4,1
2113,On,G3,1
2119,Off,G4,1
2119,Off,D4,1
2119,Off,G3,1
2119,On,G4,1
2119,On,D4,1
2119,On,G3,1
2125,Off,G4,1
2125,Off,D4,1
2125,Off,G3,1
2125,On,G4,1
2125,On,D4,1
2125,On,G3,1
2131,Off,G4,1
2131,Off,D4,1
2131,Off,G3,1
2131,On,G4,1
2131,On,D4,1
2131,On,G3,1
2137,Off,G4,1
2137,Off,D4,1
2137,Off,G3,1
2137,On,G4,1
2137,On,D4,1
2137,On,G3,1
2142,Off,G4,1
2142,Off,D4,1
2142,Off,G3,1
2142,On,G4,1
2142,On,D4,1
2142,On,G3,1
2148,Off,G4,1
2148,Off,D4,1
2148,Off,G3,1
2148,On,D4,1
2148,On,A3,1
2148,On,D3,1
2154,Off,D4,1
2154,Off,A3,1
2154,Off,D3,1
2154,On,B4,1
2154,On,F#4,1
2154,On,B3,1
2160,Off,B4,1
